"Gross national income (GNI) per capita (2011 PPP$)"
"HDI Rank (2015)","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015",""
"135"," Congo","4493","","4609","","4729","","4453","","3967","","3210","","3213","","3674","","4076","","3492","","3564","","3649","","3841","","4151","","3470","","3734","","3917","","4026","","4839","","4377","","4546","","4508","","4864","","5002","","5496","","5503",""
"176"," Congo (Democratic Republic of the)","1260","","1111","","952","","814","","707","","675","","648","","659","","637","","595","","545","","515","","519","","535","","549","","577","","573","","584","","596","","596","","568","","584","","604","","616","","650","","680",""
"66"," Costa Rica","7056","","7104","","7565","","7924","","8190","","8254","","8158","","8380","","8754","","8485","","8824","","9108","","9273","","9670","","9926","","10387","","11220","","11988","","12188","","11843","","12403","","12885","","13343","","13596","","13774","","14006",""
"45"," Croatia","14105","","11192","","9827","","9130","","9767","","12479","","13319","","14391","","14707","","14465","","15161","","15788","","16653","","17268","","18324","","19033","","19974","","21103","","21443","","19935","","19428","","20008","","19581","","19616","","19380","","20291",""
"68"," Cuba","4906","","4359","","3844","","3251","","3257","","3299","","3551","","3637","","3635","","3844","","4048","","4184","","4234","","4380","","4616","","5135","","5766","","6150","","6394","","6422","","6597","","6821","","7014","","7195","","7280","","7455"," c"
"33"," Cyprus","24142","","23716","","25155","","24772","","25616","","25067","","25134","","25205","","28498","","26997","","27376","","28476","","29698","","30491","","30874","","31766","","33178","","34867","","34885","","33690","","32669","","33080","","30712","","28848","","28626","","29459",""
"28"," Czech Republic","19965","","17638","","17539","","17471","","17971","","18942","","19660","","19556","","19495","","19716","","20606","","21117","","21331","","22140","","22903","","24376","","25573","","26726","","27214","","25576","","25974","","26436","","26534","","26435","","26876","","28144",""
"171"," Côte d'Ivoire","2844","","2714","","2652","","2593","","2611","","2721","","2773","","2946","","3017","","2929","","2851","","2749","","2598","","2432","","2491","","2563","","2531","","2514","","2608","","2629","","2624","","2448","","2664","","2802","","2988","","3163",""
"5"," Denmark","32440","","32754","","33420","","33505","","35278","","36313","","37078","","38083","","38894","","40003","","40868","","41324","","41475","","41752","","43186","","44259","","45989","","45848","","45524","","42928","","43715","","44234","","44106","","44366","","44392","","44519",""
"172"," Djibouti","2039","","1913","","1949","","2018","","1907","","1988","","1846","","1896","","1858","","1910","","1913","","1908","","1936","","2076","","2137","","2169","","2446","","2520","","2593","","2629","","2686","","2770","","2865","","2968","","3104","","3216",""
